Date,Transaction_ID,Debit_Account,Credit_Account,Amount,Currency,Description
2025-06-18T22:17:35.293298,KP_FUND_0,ACC1000,ACC1001,6833951.375714907,INR,Investment Capital
2025-06-18T22:17:35.293312,KP_FUND_1,ACC1000,ACC1002,8334530.004151284,INR,Investment Capital
2025-06-27T22:17:35.293319,61f224c9-235c-4e06-9eab-deb2a86b65cc,ACC1001,ACC1012,48753.43997628105,INR,Cash Deposit
2025-06-23T22:17:35.293339,6a8bf375-e9d2-450c-b507-e0a7b60abcee,ACC1001,ACC1012,47993.17513005574,INR,Cash Deposit
2025-06-24T22:17:35.293348,953c831c-a307-48ab-8fe2-ab89d22ec468,ACC1002,ACC1012,44467.687210879776,INR,Cash Deposit
2025-07-01T22:17:35.293355,b388378e-08df-4b17-9a52-fc8f14e47835,ACC1001,ACC1012,47419.97556653996,INR,Cash Deposit
2025-07-01T22:17:35.293361,2e7dd6e7-c55b-4628-83fc-fc2d5c856f75,ACC1002,ACC1005,47903.86193125668,INR,Cash Deposit
2025-06-25T22:17:35.293368,1e482588-1f1a-44cb-b029-805c0a43b6f2,ACC1001,ACC1010,43823.28920946505,INR,Cash Deposit
2025-06-25T22:17:35.293374,9cfadbb4-d64b-4ba6-baa7-2d360b91f0bf,ACC1001,ACC1003,40761.81294870571,INR,Cash Deposit
2025-07-03T22:17:35.293381,0b80c35a-edb5-428b-abeb-f67427457a56,ACC1002,ACC1007,48084.19679798861,INR,Cash Deposit
2025-06-28T22:17:35.293387,11600dab-1ea8-4ed1-a972-b5619ccc166b,ACC1002,ACC1003,42283.58280451575,INR,Cash Deposit
2025-07-02T22:17:35.293394,97f69a8f-949d-4791-9bb8-5068f5cccaaf,ACC1002,ACC1006,44911.11797575765,INR,Cash Deposit
2025-07-03T22:17:35.293400,51e68f62-c306-4310-8fac-1545cd76fa73,ACC1001,ACC1012,45090.857487996895,INR,Cash Deposit
2025-06-28T22:17:35.293407,411eb4fc-607f-438f-bcc0-e762124d44cf,ACC1002,ACC1003,47649.438192727626,INR,Cash Deposit
2025-06-25T22:17:35.293413,7464f11e-8a31-4a92-9464-4442a872cb92,ACC1001,ACC1004,48503.47020119036,INR,Cash Deposit
2025-06-27T22:17:35.293419,aacf978d-1d0d-4882-8c70-7b0aa874aedf,ACC1002,ACC1006,40333.41195099043,INR,Cash Deposit
2025-07-02T22:17:35.293426,e86d4e59-4416-4dc3-8cd4-5c1dd3487c12,ACC1001,ACC1012,43747.635256944995,INR,Cash Deposit
2025-06-30T22:17:35.293432,29d9c9b3-49c0-40ed-a79d-161d5e0605c6,ACC1002,ACC1011,40428.57876023222,INR,Cash Deposit
2025-06-29T22:17:35.293439,63294303-6bc7-46d2-aa09-601b1dbeaa5c,ACC1002,ACC1003,47000.71554729117,INR,Cash Deposit
2025-06-28T22:17:35.293445,a958a05b-1e6c-4482-b5ee-1489fb0356bb,ACC1002,ACC1008,45739.59714646984,INR,Cash Deposit
2025-07-02T22:17:35.293451,3e3c3b36-891e-40a7-a1bb-a170621e01d2,ACC1001,ACC1012,40373.827273836025,INR,Cash Deposit
2025-06-28T22:17:35.293457,858f9b4e-a0ed-46de-99de-d1ef39928ad3,ACC1002,ACC1007,44685.74962362505,INR,Cash Deposit
2025-06-29T22:17:35.293464,fed9f3b4-dafa-419b-b402-c80e9a15fde0,ACC1001,ACC1011,44131.36693612077,INR,Cash Deposit
2025-06-24T22:17:35.293470,6b0c3c74-8afb-4399-a670-c467f096f4ea,ACC1002,ACC1003,49483.86630617067,INR,Cash Deposit
2025-06-24T22:17:35.293476,08a29a5c-a142-4177-8e6a-a4e59800024b,ACC1002,ACC1012,42617.99539736078,INR,Cash Deposit
2025-07-01T22:17:35.293482,d91b7d60-62f8-4d6a-b047-3c4dde17669d,ACC1001,ACC1003,45319.49549912267,INR,Cash Deposit
2025-06-28T22:17:35.293488,2e9144f9-2561-437f-9c20-db77caca474d,ACC1002,ACC1007,48477.89444984464,INR,Cash Deposit
2025-06-28T22:17:35.293494,b4e01ffe-e24f-4823-95d2-58a6d64da50f,ACC1002,ACC1003,44316.76301552856,INR,Cash Deposit
2025-06-24T22:17:35.293501,aac9d803-3661-47de-87bb-25f068098110,ACC1002,ACC1009,46248.7617808015,INR,Cash Deposit
2025-07-01T22:17:35.293507,c90b8124-cf84-4a89-a5b6-43b1aa954dd8,ACC1001,ACC1010,41985.838598017595,INR,Cash Deposit
2025-07-03T22:17:35.293513,4f7f4a82-f523-4e2c-9ea6-1ce72f3482f6,ACC1001,ACC1010,42867.56460694726,INR,Cash Deposit
2025-07-02T22:17:35.293519,153bdc5a-5d72-44a8-992d-1e1d683f5877,ACC1001,ACC1012,48801.7339593046,INR,Cash Deposit
2025-06-23T22:17:35.293525,6309bf34-5691-4808-b5c9-65051e5f30cb,ACC1002,ACC1004,47744.147524906824,INR,Cash Deposit
2025-06-27T22:17:35.293531,4910b964-4b2c-44b9-a7eb-65f51504161e,ACC1001,ACC1006,42938.110468164596,INR,Cash Deposit
2025-07-03T22:17:35.293537,f1228889-c9d1-48f7-80de-d8d151e60b0d,ACC1002,ACC1012,49835.26191751097,INR,Cash Deposit
2025-07-03T22:17:35.293543,771f4aa3-f493-4e21-9174-6fac8ecf3be5,ACC1001,ACC1003,45504.96724581791,INR,Cash Deposit
2025-07-03T22:17:35.293551,b47de682-e666-41f0-be4f-186458b5d23e,ACC1002,ACC1008,49841.45247602384,INR,Cash Deposit
2025-06-29T22:17:35.293557,328f5758-8eec-462e-8c2e-7996e76403d2,ACC1001,ACC1003,46707.236435902094,INR,Cash Deposit
2025-07-01T22:17:35.293563,be6587c0-871e-4fa9-b74d-1f2d41e97826,ACC1002,ACC1003,45577.140891682146,INR,Cash Deposit
2025-06-26T22:17:35.293569,e3dd7760-3f14-44f8-945c-529f49a26212,ACC1002,ACC1009,41207.16480822512,INR,Cash Deposit
2025-06-27T22:17:35.293575,dbd06f2b-7a9b-44e7-90ab-2876ac991c58,ACC1001,ACC1012,43226.96272989385,INR,Cash Deposit
2025-06-30T22:17:35.293581,eea76654-158e-4c4c-ad1d-0919c95ca81e,ACC1002,ACC1006,44934.870050948535,INR,Cash Deposit
2025-06-27T22:17:35.293587,2a1ea70d-d69e-4a69-a001-3ba3c4e210bf,ACC1001,ACC1010,45881.74155126647,INR,Cash Deposit
2025-06-26T22:17:35.293593,3b7fab08-c780-44ad-8062-75b0984d1b33,ACC1001,ACC1010,43021.42896042823,INR,Cash Deposit
2025-06-30T22:17:35.293599,a8a72eb2-15c1-4910-b208-7818bc9017d4,ACC1002,ACC1010,46789.43108241542,INR,Cash Deposit
2025-06-23T22:17:35.293604,7e12d5ea-eb3c-4474-8f90-e5a5dbbcb462,ACC1002,ACC1010,47621.32517633103,INR,Cash Deposit
2025-06-23T22:17:35.293610,18f3f548-87c6-4ac0-9162-64d011fe2776,ACC1002,ACC1007,45002.023559487214,INR,Cash Deposit
2025-07-03T22:17:35.293616,586c16ea-2683-42e8-823f-6d3bab97a247,ACC1002,ACC1010,41352.33308211675,INR,Cash Deposit
2025-06-28T22:17:35.293622,4e439cb3-1dec-428e-a748-f5ea0078b96f,ACC1002,ACC1010,41956.070352455914,INR,Cash Deposit
2025-07-02T22:17:35.293628,dcab8ea0-2c4c-4788-9a11-81526dea54d5,ACC1002,ACC1004,48788.606917878635,INR,Cash Deposit
2025-07-02T22:17:35.293634,836580b0-24b1-486d-8ad3-1e9dd4cfe669,ACC1002,ACC1004,42866.843536566856,INR,Cash Deposit
2025-06-24T22:17:35.293640,79a0451b-fb84-474e-8d60-da3edc766549,ACC1001,ACC1010,41675.93945508325,INR,Cash Deposit
2025-07-01T22:17:35.293650,897784a0-620f-4af2-8b8c-bb483b49c76e,ACC1004,ACC1012,24135.573283849422,INR,Service Payment
2025-06-30T22:17:35.293658,2a2d3ec4-6f53-4447-8b4b-b96fa76f0246,ACC1005,ACC1009,15747.887251127155,INR,Service Payment
2025-07-03T22:17:35.293665,4629cb74-6c7f-4e7b-85ce-b874765da9bd,ACC1008,ACC1012,22182.640709921267,INR,Service Payment
2025-06-30T22:17:35.293672,69aed131-37db-4fc1-8003-1fe2ff6cfee1,ACC1011,ACC1005,15682.94222815874,INR,Service Payment
2025-07-05T22:17:35.293678,8c589653-1fc4-4bc3-9555-39f97c3b0795,ACC1012,ACC1010,15011.620469807058,INR,Service Payment
2025-07-05T22:17:35.293685,cdf41a87-ec34-495c-a8b9-25f4dc17ccff,ACC1005,ACC1004,14261.896833271854,INR,Service Payment
2025-06-30T22:17:35.293692,55c1e1f1-110a-4967-bae0-dc78748c8e19,ACC1010,ACC1006,16428.2712018576,INR,Service Payment
2025-07-05T22:17:35.293699,6dfb212c-d62d-4893-af3b-af1dde3687ac,ACC1011,ACC1012,17773.731944538955,INR,Service Payment
2025-07-02T22:17:35.293706,9cae7084-44cc-44ce-8414-62555e3a3586,ACC1008,ACC1004,12752.828502293578,INR,Service Payment
2025-07-03T22:17:35.293713,c4b9398d-e184-405e-850b-0a5ded9fe20b,ACC1003,ACC1004,32665.559311752273,INR,Service Payment
2025-07-01T22:17:35.293720,1c90f972-0970-40bc-87c9-e7d6e9bbc687,ACC1004,ACC1005,25115.945436784677,INR,Service Payment
2025-07-04T22:17:35.293727,2e02000f-5a7e-4384-8836-dacc2898311b,ACC1004,ACC1009,25550.391697183502,INR,Service Payment
2025-07-05T22:17:35.293734,5f1b7319-4609-440b-b336-f161b3c959f8,ACC1007,ACC1011,17208.256115104057,INR,Service Payment
2025-06-29T22:17:35.293741,52fb8e03-df54-40f7-9a4d-de12149e54e3,ACC1011,ACC1005,33682.86724797943,INR,Service Payment
2025-07-03T22:17:35.293747,7ffa9d65-743e-4ac3-a691-2ec3b2dee490,ACC1011,ACC1007,17491.72782606722,INR,Service Payment
2025-07-01T22:17:35.293754,8c0e7440-00d7-48cf-bb41-5d7444246871,ACC1005,ACC1006,18526.898103830863,INR,Service Payment
2025-07-01T22:17:35.293761,aea68dde-5d6e-4f6a-87e8-7b5ab309173c,ACC1008,ACC1003,33161.676705408965,INR,Service Payment
2025-07-05T22:17:35.293768,c8f25599-2d50-42f2-beb4-d955d4833e0b,ACC1011,ACC1007,28002.901090901883,INR,Service Payment
2025-06-30T22:17:35.293849,59d6ee3e-7a82-4255-a7a0-2209c48df398,ACC1012,ACC1005,22432.795690825475,INR,Service Payment
2025-07-01T22:17:35.293858,e6dd1fbe-cd0d-4831-9803-a92e79ea5f0e,ACC1009,ACC1012,25929.690478037104,INR,Service Payment
2025-07-03T22:17:35.293865,081d8803-dc0b-425b-9290-a721ec3568a0,ACC1004,ACC1010,22867.007183055415,INR,Service Payment
2025-07-04T22:17:35.293871,8b2e1ddc-ff83-4bd0-80fe-7f0d1e71bc3f,ACC1012,ACC1004,30594.85848550105,INR,Service Payment
2025-07-05T22:17:35.293878,bd6f60b1-77de-4033-a142-90d78ce7ea91,ACC1005,ACC1008,17154.366068532938,INR,Service Payment
2025-06-29T22:17:35.293884,482d06d9-2ab6-4361-8ce8-a9afc363c551,ACC1009,ACC1008,13589.360749325664,INR,Service Payment
2025-07-06T22:17:35.293890,4c61fc45-985f-4041-abb8-3668616d5c6e,ACC1012,ACC1005,16899.64694330898,INR,Service Payment
2025-07-03T22:17:35.293897,9424bd07-17a7-47f1-9f47-7402692a41b3,ACC1009,ACC1008,11950.548742168046,INR,Service Payment
2025-07-04T22:17:35.293903,f049a9b4-937f-46fa-8d58-d2fb1a522495,ACC1012,ACC1003,15003.951632452474,INR,Service Payment
2025-07-04T22:17:35.293909,9228faf1-a722-418a-8873-bad3e6df540e,ACC1010,ACC1006,17013.060853001487,INR,Service Payment
2025-07-05T22:17:35.293916,9f4ae4e1-9fde-495d-9c4e-4e0be3bc03ff,ACC1003,ACC1008,31291.54474923414,INR,Service Payment
2025-07-01T22:17:35.293922,4052fd3f-248c-4892-acd5-a6aae43519d2,ACC1004,ACC1005,24486.398750861677,INR,Service Payment
2025-07-05T22:17:35.293929,b689c1d0-d692-4752-a72d-c1bba997667c,ACC1008,ACC1004,18537.897952321757,INR,Service Payment
2025-07-01T22:17:35.293935,c37c164c-b1f3-4a99-94ba-c0dd03008bd8,ACC1007,ACC1004,33075.21024216553,INR,Service Payment
